names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
AI1	0	1	0	1
BI2	0	1	0	1
COX2	0	1	0	1
TFC3	0	1	0	1
EFB1	1	0	1	0
SSA1	1	0	1	0
ERP2	1	1	0	0
FUN14	0	1	0	1
CYS3	0	1	0	1
DEP1	1	1	0	0
TPD3	1	1	0	0
PSK1	1	0	1	0
FUN30	0	1	0	1
ATS1	0	1	0	1
CCR4	1	1	0	0
PMT2	0	1	0	1
LTE1	1	1	0	0
DRS2	1	1	0	0
SAW1	0	1	0	1
FRT2	0	1	0	1
MYO4	1	1	0	0
PRP45	1	1	0	0
POP5	1	1	0	0
FUN19	1	1	0	0
FUN12	1	0	1	0
RBG1	1	0	1	0
CDC19	1	0	1	0
CDC24	1	0	1	0
ERV46	1	1	0	0
PTA1	1	1	0	0
BOL3	0	1	0	1
SPC72	1	1	0	0
GEM1	1	0	1	0
OAF1	0	1	0	1
FLC2	0	1	0	1
ECM1	0	1	0	1
GDH3	0	1	0	1
SEO1	0	1	0	1
ERP1	1	1	0	0
NUP60	1	1	0	0
SWD1	1	1	0	0
RFA1	1	1	0	0
BUD14	1	1	0	0
ADE1	0	1	0	1
CDC15	0	1	0	1
SWH1	1	0	1	0
PHO11	0	1	0	1
HTB2	0	1	0	1
HTA2	1	1	0	0
UTP20	1	1	0	0
SLA1	1	1	0	0
HIR1	0	1	0	1
YBL010C	0	1	0	1
FUS3	0	1	0	1
PEP1	1	1	0	0
POP8	1	0	1	0
APN2	0	1	0	1
RFT1	0	1	0	1
PIM1	1	0	1	0
MCM2	1	1	0	0
NCL1	0	1	0	1
LSM2	1	1	0	0
PET9	1	1	0	0
HEK2	1	1	0	0
POL12	1	1	0	0
YBL036C	0	1	0	1
APL3	0	1	0	1
MRPL16	1	1	0	0
URA7	1	1	0	0
PRE7	1	1	0	0
YBL044W	0	1	0	1
COR1	1	1	0	0
PSY4	1	1	0	0
EDE1	1	1	0	0
RRT1	0	1	0	1
SAS3	0	1	0	1
TOD6	0	1	0	1
YBL055C	0	1	0	1
PTC3	1	1	0	0
PTH2	0	1	0	1
SHP1	1	1	0	0
YBL059W	0	1	0	1
YEL1	0	1	0	1
SKT5	1	1	0	0
KIP1	0	1	0	1
UBP13	0	1	0	1
YBL071C	0	1	0	1
KTI11	0	1	0	1
RPS8A	1	0	1	0
AAR2	1	1	0	0
SSA3	1	1	0	0
ILS1	1	1	0	0
NUP170	0	1	0	1
YBL081W	0	1	0	1
CDC27	1	1	0	0
BOI1	1	0	1	0
YBL086C	0	1	0	1
RPL23A	1	1	0	0
MRP21	1	1	0	0
ROX3	0	1	0	1
BRN1	0	1	0	1
ATP1	1	1	0	0
ECM21	0	1	0	1
RTG3	0	1	0	1
SEA4	1	1	0	0
PKC1	0	1	0	1
SRO77	0	1	0	1
YBL111C	0	1	0	1
NTH2	0	1	0	1
HHF1	1	1	0	0
HHT1	0	1	0	1
IPP1	1	1	0	0
KAP104	1	1	0	0
GAL10	0	1	0	1
CHS3	0	1	0	1
OLA1	1	1	0	0
ETR1	0	1	0	1
RKM3	0	1	0	1
RPL4A	1	0	1	0
HMT1	0	1	0	1
ATP3	1	1	0	0
CST26	0	1	0	1
TCM62	0	1	0	1
FMP23	0	1	0	1
REB1	1	1	0	0
RFS1	1	0	1	0
YRO2	0	1	0	1
PRP6	1	1	0	0
MUM2	0	1	0	1
UBP14	0	1	0	1
AKL1	0	1	0	1
ORC2	1	1	0	0
TRM7	0	1	0	1
YBR062C	0	1	0	1
ECM2	1	1	0	0
NRG2	0	1	0	1
TIP1	0	1	0	1
TAT1	0	1	0	1
HSP26	0	1	0	1
RDH54	0	1	0	1
RPG1	1	1	0	0
SEC18	0	1	0	1
SPT7	1	1	0	0
UBC4	0	1	0	1
TEC1	0	1	0	1
RPL19A	1	0	1	0
MIS1	1	1	0	0
AAC3	0	1	0	1
IST2	1	0	1	0
RFC5	1	1	0	0
POL30	0	1	0	1
PHO5	0	1	0	1
PBY1	1	1	0	0
RXT2	1	1	0	0
