names	in_Costanzo	in_Gavin	in_Krogan	unique_to_Costanzo	unique_to_Gavin	unique_to_Krogan
AI1	0	0	1	0	0	1
BI2	0	0	1	0	0	1
COX2	0	0	1	0	0	1
TFC3	1	0	1	0	0	0
VPS8	1	0	0	1	0	0
EFB1	1	1	0	0	0	0
YAL004W	1	0	0	1	0	0
SSA1	1	1	0	0	0	0
ERP2	1	1	1	0	0	0
FUN14	1	0	1	0	0	0
SPO7	1	0	0	1	0	0
MDM10	1	0	0	1	0	0
SWC3	1	0	0	1	0	0
CYS3	1	0	1	0	0	0
DEP1	1	1	1	0	0	0
SYN8	1	0	0	1	0	0
NTG1	1	0	0	1	0	0
YAL016C-B	1	0	0	1	0	0
TPD3	0	1	1	0	0	0
PSK1	1	1	0	0	0	0
LDS1	1	0	0	1	0	0
FUN30	1	0	1	0	0	0
ATS1	1	0	1	0	0	0
CCR4	1	1	1	0	0	0
FUN26	1	0	0	1	0	0
PMT2	1	0	1	0	0	0
LTE1	1	1	1	0	0	0
MAK16	1	0	0	1	0	0
DRS2	0	1	1	0	0	0
SAW1	1	0	1	0	0	0
FRT2	1	0	1	0	0	0
MYO4	1	1	1	0	0	0
SNC1	1	0	0	1	0	0
GIP4	1	0	0	1	0	0
PRP45	0	1	1	0	0	0
POP5	0	1	1	0	0	0
FUN19	1	1	1	0	0	0
MTW1	1	0	0	1	0	0
FUN12	0	1	0	0	1	0
RBG1	1	1	0	0	0	0
YAL037C-A	1	0	0	1	0	0
YAL037W	1	0	0	1	0	0
CDC19	1	1	0	0	0	0
CYC3	1	0	0	1	0	0
CLN3	1	0	0	1	0	0
CDC24	1	1	0	0	0	0
ERV46	1	1	1	0	0	0
PTA1	1	1	1	0	0	0
YAL045C	1	0	0	1	0	0
BOL3	1	0	1	0	0	0
SPC72	0	1	1	0	0	0
GEM1	1	1	0	0	0	0
AIM2	1	0	0	1	0	0
OAF1	0	0	1	0	0	1
FLC2	1	0	1	0	0	0
ACS1	1	0	0	1	0	0
PEX22	1	0	0	1	0	0
GPB2	1	0	0	1	0	0
CNE1	1	0	0	1	0	0
ECM1	1	0	1	0	0	0
BDH1	1	0	0	1	0	0
BDH2	1	0	0	1	0	0
GDH3	1	0	1	0	0	0
FLO9	1	0	0	1	0	0
TDA8	1	0	0	1	0	0
YAL065C	1	0	0	1	0	0
YAL066W	1	0	0	1	0	0
SEO1	1	0	1	0	0	0
PAU8	1	0	0	1	0	0
ERP1	1	1	1	0	0	0
NUP60	1	1	1	0	0	0
SWD1	1	1	1	0	0	0
RFA1	1	1	1	0	0	0
BUD14	1	1	1	0	0	0
ADE1	1	0	1	0	0	0
KIN3	1	0	0	1	0	0
CDC15	1	0	1	0	0	0
PAU7	1	0	0	1	0	0
YAR023C	1	0	0	1	0	0
UIP3	1	0	0	1	0	0
YAR028W	1	0	0	1	0	0
YAR029W	1	0	0	1	0	0
YAR030C	1	0	0	1	0	0
PRM9	1	0	0	1	0	0
MST28	1	0	0	1	0	0
YAR035C-A	1	0	0	1	0	0
SWH1	1	1	0	0	0	0
YAR047C	1	0	0	1	0	0
FLO1	1	0	0	1	0	0
YAR066W	1	0	0	1	0	0
PHO11	1	0	1	0	0	0
YAR075W	1	0	0	1	0	0
ECM15	1	0	0	1	0	0
HTB2	1	0	1	0	0	0
HTA2	1	1	1	0	0	0
UTP20	0	1	1	0	0	0
LDB7	1	0	0	1	0	0
SLA1	1	1	1	0	0	0
HIR1	1	0	1	0	0	0
ALK2	1	0	0	1	0	0
YBL010C	1	0	1	0	0	0
SCT1	1	0	0	1	0	0
FMT1	1	0	0	1	0	0
