names	in_ExE	in_ExN	in_NxN	unique_to_ExE	unique_to_ExN	unique_to_NxN
TFC3	1	1	0	0	0	0
VPS8	0	1	1	0	0	0
EFB1	1	1	0	0	0	0
YAL004W	0	1	1	0	0	0
SSA1	0	1	1	0	0	0
ERP2	0	0	1	0	0	1
FUN14	0	0	1	0	0	1
SPO7	0	0	1	0	0	1
MDM10	0	1	1	0	0	0
SWC3	0	1	1	0	0	0
CYS3	0	0	1	0	0	1
DEP1	0	1	1	0	0	0
SYN8	0	1	1	0	0	0
NTG1	0	1	1	0	0	0
YAL016C-B	0	0	1	0	0	1
PSK1	0	0	1	0	0	1
LDS1	0	0	1	0	0	1
FUN30	0	1	1	0	0	0
ATS1	0	1	1	0	0	0
CCR4	0	0	1	0	0	1
FUN26	0	1	0	0	1	0
PMT2	0	1	1	0	0	0
LTE1	0	1	1	0	0	0
MAK16	1	1	0	0	0	0
SAW1	0	0	1	0	0	1
FRT2	0	0	1	0	0	1
MYO4	0	0	1	0	0	1
SNC1	0	1	1	0	0	0
GIP4	0	0	1	0	0	1
FUN19	0	1	1	0	0	0
MTW1	1	1	0	0	0	0
RBG1	0	0	1	0	0	1
YAL037C-A	0	0	1	0	0	1
YAL037W	0	1	1	0	0	0
CDC19	1	1	0	0	0	0
CYC3	0	0	1	0	0	1
CLN3	0	0	1	0	0	1
CDC24	1	1	0	0	0	0
ERV46	0	0	1	0	0	1
PTA1	1	1	0	0	0	0
YAL045C	0	1	1	0	0	0
BOL3	0	0	1	0	0	1
GEM1	0	1	1	0	0	0
AIM2	0	0	1	0	0	1
FLC2	0	1	1	0	0	0
ACS1	0	1	0	0	1	0
PEX22	0	0	1	0	0	1
GPB2	0	1	1	0	0	0
CNE1	0	1	1	0	0	0
ECM1	0	1	1	0	0	0
BDH1	0	1	1	0	0	0
BDH2	0	0	1	0	0	1
GDH3	0	0	1	0	0	1
FLO9	0	0	1	0	0	1
TDA8	0	1	0	0	1	0
YAL065C	0	0	1	0	0	1
YAL066W	0	0	1	0	0	1
SEO1	0	0	1	0	0	1
PAU8	0	1	1	0	0	0
ERP1	0	1	1	0	0	0
NUP60	0	1	1	0	0	0
SWD1	0	1	1	0	0	0
RFA1	1	1	0	0	0	0
BUD14	0	1	1	0	0	0
ADE1	0	1	1	0	0	0
KIN3	0	1	1	0	0	0
CDC15	1	1	0	0	0	0
PAU7	0	0	1	0	0	1
YAR023C	0	0	1	0	0	1
UIP3	0	1	1	0	0	0
YAR028W	0	0	1	0	0	1
YAR029W	0	1	1	0	0	0
YAR030C	0	1	1	0	0	0
PRM9	0	0	1	0	0	1
MST28	0	0	1	0	0	1
YAR035C-A	0	0	1	0	0	1
SWH1	0	1	1	0	0	0
YAR047C	0	0	1	0	0	1
FLO1	0	0	1	0	0	1
YAR066W	0	0	1	0	0	1
PHO11	0	0	1	0	0	1
YAR075W	0	0	1	0	0	1
ECM15	0	1	1	0	0	0
HTB2	0	0	1	0	0	1
HTA2	0	0	1	0	0	1
LDB7	0	1	1	0	0	0
SLA1	0	1	1	0	0	0
HIR1	0	1	1	0	0	0
ALK2	0	0	1	0	0	1
YBL010C	0	1	1	0	0	0
SCT1	0	1	1	0	0	0
FMT1	0	0	1	0	0	1
ACH1	0	0	1	0	0	1
PEP1	0	1	1	0	0	0
APN2	0	1	0	0	1	0
HAP3	0	1	1	0	0	0
MCM2	1	1	0	0	0	0
NCL1	0	0	1	0	0	1
LSM2	1	1	0	0	0	0
RPL19B	0	1	1	0	0	0
YBL028C	0	0	1	0	0	1
YBL029W	0	1	1	0	0	0
SHE1	0	1	1	0	0	0
HEK2	0	1	1	0	0	0
STU1	1	1	0	0	0	0
POL12	1	1	0	0	0	0
YBL036C	0	1	1	0	0	0
APL3	0	0	1	0	0	1
URA7	0	1	1	0	0	0
YBL039W-B	0	0	1	0	0	1
ERD2	1	1	0	0	0	0
PRE7	1	1	0	0	0	0
FUI1	0	0	1	0	0	1
ECM13	0	0	1	0	0	1
YBL044W	0	1	0	0	1	0
PSY4	0	1	0	0	1	0
EDE1	0	1	1	0	0	0
RRT1	0	0	1	0	0	1
MOH1	0	0	1	0	0	1
SEC17	1	1	0	0	0	0
PIN4	0	1	1	0	0	0
SAS3	0	1	1	0	0	0
YBL053W	0	0	1	0	0	1
TOD6	0	1	1	0	0	0
YBL055C	0	0	1	0	0	1
PTC3	0	1	1	0	0	0
PTH2	0	1	1	0	0	0
SHP1	0	1	1	0	0	0
CMC2	0	1	1	0	0	0
YBL059W	0	1	1	0	0	0
YEL1	0	0	1	0	0	1
SKT5	0	1	1	0	0	0
YBL062W	0	1	1	0	0	0
KIP1	0	1	1	0	0	0
YBL065W	0	1	1	0	0	0
SEF1	0	0	1	0	0	1
UBP13	0	0	1	0	0	1
PRS4	0	1	1	0	0	0
AST1	0	0	1	0	0	1
YBL070C	0	0	1	0	0	1
YBL071C	0	1	1	0	0	0
RPS8A	0	1	1	0	0	0
AAR2	1	1	0	0	0	0
SSA3	0	1	1	0	0	0
ILS1	1	1	0	0	0	0
ATG8	0	1	1	0	0	0
NUP170	0	0	1	0	0	1
PET112	0	0	1	0	0	1
YBL081W	0	1	1	0	0	0
ALG3	0	1	1	0	0	0
YBL083C	0	1	1	0	0	0
CDC27	1	1	0	0	0	0
BOI1	0	0	1	0	0	1
YBL086C	0	1	0	0	1	0
RPL23A	0	1	1	0	0	0
TEL1	0	0	1	0	0	1
AVT5	0	1	1	0	0	0
MAP2	0	1	1	0	0	0
SCS22	0	1	1	0	0	0
MRX3	0	0	1	0	0	1
YBL096C	0	1	1	0	0	0
BRN1	1	1	0	0	0	0
BNA4	0	0	1	0	0	1
ECM21	0	1	1	0	0	0
SFT2	0	1	1	0	0	0
RTG3	0	1	1	0	0	0
SEA4	0	1	1	0	0	0
PKC1	1	1	0	0	0	0
SRO77	0	0	1	0	0	1
PAU9	0	0	1	0	0	1
YBL111C	0	1	0	0	1	0
NTH2	0	0	1	0	0	1
COQ1	0	1	0	0	1	0
GPI18	1	1	0	0	0	0
RCR1	0	0	1	0	0	1
UGA2	0	0	1	0	0	1
DSF2	0	0	1	0	0	1
FLR1	0	0	1	0	0	1
HHF1	0	1	1	0	0	0
HHT1	0	1	1	0	0	0
IPP1	1	1	0	0	0	0
YBR012C	0	0	1	0	0	1
YBR013C	0	0	1	0	0	1
GRX7	0	0	1	0	0	1
MNN2	0	1	1	0	0	0
YBR016W	0	1	1	0	0	0
GAL7	0	1	1	0	0	0
GAL10	0	1	1	0	0	0
GAL1	0	0	1	0	0	1
POA1	0	0	1	0	0	1
CHS3	0	1	1	0	0	0
SCO2	0	0	1	0	0	1
OLA1	0	1	1	0	0	0
ETR1	0	1	1	0	0	0
YPK3	0	0	1	0	0	1
CDS1	1	1	0	0	0	0
RKM3	0	1	1	0	0	0
RPL4A	0	1	1	0	0	0
YBR032W	0	1	0	0	1	0
EDS1	0	1	1	0	0	0
HMT1	0	1	1	0	0	0
PDX3	0	0	1	0	0	1
CSG2	0	1	1	0	0	0
SCO1	0	0	1	0	0	1
FIG1	0	0	1	0	0	1
FAT1	0	1	1	0	0	0
CST26	0	0	1	0	0	1
QDR3	0	0	1	0	0	1
TCM62	0	1	1	0	0	0
GIP1	0	1	1	0	0	0
ZTA1	0	0	1	0	0	1
FMP23	0	0	1	0	0	1
RPS11B	0	1	1	0	0	0
YBR051W	0	1	1	0	0	0
YBR053C	0	0	1	0	0	1
YRO2	0	0	1	0	0	1
PRP6	1	1	0	0	0	0
YBR056W	0	0	1	0	0	1
MUM2	0	1	1	0	0	0
UBP14	0	1	1	0	0	0
TSC3	1	1	0	0	0	0
AKL1	0	0	1	0	0	1
ORC2	1	1	0	0	0	0
YBR062C	0	1	1	0	0	0
YBR063C	0	1	1	0	0	0
YBR064W	0	1	1	0	0	0
ECM2	0	1	1	0	0	0
NRG2	0	0	1	0	0	1
BAP2	0	1	1	0	0	0
TAT1	0	0	1	0	0	1
ALG14	1	1	0	0	0	0
YBR071W	0	1	1	0	0	0
HSP26	0	0	1	0	0	1
RDH54	0	0	1	0	0	1
PFF1	0	1	1	0	0	0
ECM8	0	1	1	0	0	0
SLM4	0	0	1	0	0	1
ECM33	0	1	1	0	0	0
RPG1	1	1	0	0	0	0
SEC18	1	1	0	0	0	0
UBC4	0	1	1	0	0	0
TEC1	0	0	1	0	0	1
RPL19A	0	1	1	0	0	0
MIS1	0	0	1	0	0	1
AAC3	0	1	1	0	0	0
IST2	0	1	1	0	0	0
RFC5	1	1	0	0	0	0
NHP6B	0	1	0	0	1	0
YBR090C	0	0	1	0	0	1
PHO3	0	0	1	0	0	1
PHO5	0	0	1	0	0	1
PBY1	0	1	1	0	0	0
RXT2	0	1	1	0	0	0
YBR096W	0	0	1	0	0	1
MMS4	0	1	1	0	0	0
YBR099C	0	1	1	0	0	0
FES1	0	1	1	0	0	0
EXO84	1	1	0	0	0	0
SIF2	0	1	1	0	0	0
YMC2	0	0	1	0	0	1
VID24	0	1	1	0	0	0
IML3	0	1	1	0	0	0
AIM3	0	1	1	0	0	0
CMD1	1	1	0	0	0	0
ALG1	1	1	0	0	0	0
YSA1	0	1	1	0	0	0
SUS1	0	0	1	0	0	1
CYC8	0	0	1	0	0	1
RAD16	0	0	1	0	0	1
YBR116C	0	0	1	0	0	1
TKL2	0	1	1	0	0	0
TEF2	0	1	1	0	0	0
MUD1	0	1	1	0	0	0
CBP6	0	1	1	0	0	0
GRS1	1	1	0	0	0	0
TFC1	1	1	0	0	0	0
PTC4	0	1	1	0	0	0
ATG14	0	1	1	0	0	0
SHE3	0	0	1	0	0	1
CCZ1	0	1	1	0	0	0
AGP2	0	1	1	0	0	0
YBR134W	0	1	1	0	0	0
CKS1	1	1	0	0	0	0
MEC1	1	1	0	0	0	0
YBR137W	0	1	1	0	0	0
YBR138C	0	0	1	0	0	1
YBR139W	0	1	1	0	0	0
BMT2	0	1	1	0	0	0
MAK5	1	1	0	0	0	0
SUP45	1	1	0	0	0	0
ADH5	0	1	1	0	0	0
MRPS9	0	0	1	0	0	1
RTC2	0	1	1	0	0	0
ARA1	0	1	1	0	0	0
TBS1	0	1	1	0	0	0
APD1	0	0	1	0	0	1
SPP381	1	1	0	0	0	0
RIB7	1	1	0	0	0	0
RPB5	1	1	0	0	0	0
SLI15	1	1	0	0	0	0
ICS2	0	1	1	0	0	0
AMN1	0	0	1	0	0	1
CDC28	1	1	0	0	0	0
CSH1	0	0	1	0	0	1
TOS1	0	0	1	0	0	1
YSY6	0	1	1	0	0	0
ARL1	0	1	1	0	0	0
UBS1	0	0	1	0	0	1
TYR1	0	0	1	0	0	1
POP7	1	1	0	0	0	0
PEX32	0	0	1	0	0	1
SSE2	0	0	1	0	0	1
NPL4	0	1	1	0	0	0
SEC66	0	1	1	0	0	0
SMY2	0	0	1	0	0	1
UMP1	0	0	1	0	0	1
SWD3	0	1	1	0	0	0
ECM31	0	0	1	0	0	1
EHT1	0	1	1	0	0	0
YBR178W	0	0	1	0	0	1
FZO1	0	1	1	0	0	0
DTR1	0	0	1	0	0	1
RPS6B	0	1	1	0	0	0
SMP1	0	0	1	0	0	1
YPC1	0	1	1	0	0	0
YBR184W	0	1	0	0	1	0
MBA1	0	0	1	0	0	1
PCH2	0	0	1	0	0	1
GDT1	0	1	1	0	0	0
NTC20	0	1	1	0	0	0
RPL21A	0	0	1	0	0	1
MED8	1	1	0	0	0	0
AIM4	0	1	1	0	0	0
MSI1	0	0	1	0	0	1
PGI1	1	1	0	0	0	0
